% Model,20260626_TI_field_CompactXY_X10_Y10_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 20:44"
% Dimension,2
% Nodes,277
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=1,ec.Ey (V/m) @ idx=1,ec.Ex (V/m) @ idx=2,ec.Ey (V/m) @ idx=2
3.4911927043483395,-0.5623841394093047,0.012213837492235822-3.170936292610244E-8i,-0.032927418075267695+8.548561831052485E-8i,0.009042866613914744-2.3476940767817026E-8i,-0.021851298359646054+5.672997946247044E-8i
4.15626282605434,-0.3330216023887548,0.01064379116752209-2.7633234620578492E-8i,-0.050888618578734966+1.3211619004646745E-7i,0.007322657568661605-1.9010962490362423E-8i,-0.03310371296085806+8.59433121772322E-8i
4.47118336285198,-0.5711783482458883,0.016683724745714-4.331401029834054E-8i,-0.06320965741596446+1.6410386733172856E-7i,0.010863756299300142-2.820430445829845E-8i,-0.041100195538517285+1.0670364801340372E-7i
4.700230261819947,-0.2149433019850432,0.0038334283621649146-9.95228332327064E-9i,-0.06462148848635776+1.6776923981026949E-7i,0.0025848813968012974-6.710826338096278E-9i,-0.041755458388226675+1.0840483058822059E-7i
5,-0.5,9.545716428721596E-4-2.4782431141761623E-9i,-0.0740075636919984+1.92137213048531E-7i,6.013443617380321E-4-1.5612002879538077E-9i,-0.04785440886913145+1.2423882497288788E-7i
4.010119121164178,0.7621461955287434,-0.02115300357786461+5.4917078097193576E-8i,-0.03895418648159876+1.0113221478680107E-7i,-0.013134367846266612+3.409922860909988E-8i,-0.024273018718000177+6.301720981061639E-8i
3.5857864376265325,1.085786437627277,-0.015294471449593172+3.970725386400904E-8i,-0.016690274762821394+4.333101534443767E-8i,-0.008622536200023595+2.238568589795958E-8i,-0.009547195822813354+2.4786271920230806E-8i
3.5635345943859966,0.4672913616880507,-0.005173733375210839+1.3431961034494219E-8i,-0.03224144700708114+8.370471156669599E-8i,-0.0022456514253434146+5.8301230957857665E-9i,-0.020268337045205097+5.262032147418385E-8i
4.471183362850836,0.5711783482462016,-0.015970068061542098+4.1461226616109567E-8i,-0.060808038087649764+1.5786882294536856E-7i,-0.010179935855120864+2.6428981128954306E-8i,-0.03883559005593493+1.0082431670763811E-7i
4.0620193590287625,0.1370603178930978,-0.002034791679448804+5.282692510329585E-9i,-0.04709010224773452+1.2225454476119256E-7i,-7.359151278425874E-4+1.910570685617768E-9i,-0.030226644609542237+7.847391489951136E-8i
3.2621461955302204,1.5101191211615839,-2.3869739058687833E-4+6.197022182783185E-10i,-0.0011391558027202542+2.9574574576386216E-9i,0.0015202013837825323-3.946721694124703E-9i,2.081876753060874E-4-5.404933999840639E-10i
2.996097674337949,1.0402411669717972,0.00217002886075666-5.6337930441252016E-9i,-0.016414152444761826+4.261415114832638E-8i,0.002979638781399637-7.73568893217301E-9i,-0.009593766308268978+2.4907177444469497E-8i
3.0711783482458297,1.9711833628521929,0.01755094150147371-4.556546409912399E-8i,0.003952419006646696-1.0261204866808957E-8i,0.0124434331320952-3.2305435329649196E-8i,0.002862529599743202-7.43165201130452E-9i
2.6873004748689064,1.6876912301953741,0.015106090529447613-3.921818243424934E-8i,-0.007941138065423048+2.0616651328697207E-8i,0.010892232958870004-2.8278235090977664E-8i,-0.004023736865002986+1.0446359111348688E-8i
3,2.5,0.032082118769422276-8.329106623079365E-8i,-4.10000197372496E-4+1.0644357325487954E-9i,0.020427404075552574-5.303328866800866E-8i,-2.2698906798568545E-4+5.893052647555952E-10i
2.628910678547424,2.387825032343496,0.027252378171591384-7.075217355656972E-8i,-0.005543690861650641+1.439243854308205E-8i,0.017543469424906838-4.5546065217507526E-8i,-0.002712115042902008+7.041148226130261E-9i
4.5906383735431735,0.17282237283081223,-0.003393650780094034+8.810540036972637E-9i,-0.06149274243572308+1.5964644105138317E-7i,-0.002021800062317188+5.2489638887648694E-9i,-0.039548703671149786+1.0267569048322175E-7i
5,0.5,-0.0012883947705250032+3.344909197999876E-9i,-0.07368796234712602+1.9130746932199678E-7i,-8.462947093692552E-4+2.19713632991165E-9i,-0.04735898912264814+1.2295262441946457E-7i
3.0730613507732762,3.03563741665075,0.03620100853100092-9.398445971875539E-8i,-0.01003594177579889+2.6055146081347725E-8i,0.02193349519508421-5.694337752741512E-8i,-0.006052122214530262+1.5712419613875045E-8i
2.5558495366897507,2.789713364101272,0.030719883369943506-7.97544532129442E-8i,-0.007758031968546926+2.014127430787306E-8i,0.019049746922619893-4.945663794886259E-8i,-0.004031497717032882+1.0466507707049048E-8i
2.842562056044149,3.479407891259219,0.030612624865564653-7.94759904575323E-8i,-0.011467246431079126+2.977107555894738E-8i,0.018248910909603518-4.7377520734705064E-8i,-0.006529071063178671+1.6950666327778017E-8i
3.2702817135208733,3.5040292074535047,0.030011835186912323-7.791623022863172E-8i,-0.017303684566031624+4.4923539732037274E-8i,0.01774078692804999-4.605833765626798E-8i,-0.010209496851808497+2.6505726899732397E-8i
3.1345447854272375,4.014349385070785,0.023815709238663312-6.182995050256025E-8i,-0.01151719323514171+2.990074662572405E-8i,0.01397314981938591-3.6276860497397185E-8i,-0.006647572471356911+1.7258317724120565E-8i
