% Model,20260626_TI_field_Base_X50_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 7 2026, 21:51"
% Dimension,2
% Nodes,861
% Expressions,2
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=3,ec.Ey (V/m) @ idx=3
-22.796203362501657,12.478647980747573,-7.289561041687737E-4+1.9682039347686233E-9i,-0.004745431803081466+1.2812812038461687E-8i
-24.999999999999996,13.88888888888889,-4.4670872752690843E-7+1.2061273248616745E-12i,-0.004242308091999621+1.1454362521179785E-8i
-20.548876026590545,5.5152665920038375,-0.0010439942590367336+2.818816656807264E-9i,-0.006870550528489931+1.8550698055576682E-8i
-20.57802750793066,8.262378320715415,-0.0012318545322195923+3.326045180928169E-9i,-0.006144652652595016+1.6590751431347706E-8i
-20.611329346104387,11.027180671900672,-0.001386425862565192+3.743392534010697E-9i,-0.005303904469810235+1.4320705440861698E-8i
-15.974829004717028,-2.771319527182712,-5.985392486946387E-4+1.6160744078524E-9i,-0.009040378913070121+2.4409301529614372E-8i
-13.377450257672912,-4.451386927104462,-4.0634310169936565E-4+1.097138890883224E-9i,-0.010007729686592004+2.7021178414739007E-8i
-18.307807493926074,1.362381991627404,-0.001059257620308789+2.8600282023886676E-9i,-0.007988555057369756+2.156934472064644E-8i
-18.320715864229264,4.115624990312946,-0.0014277942499852276+3.855088454285233E-9i,-0.007423347266219821+2.0043266274850828E-8i
-16.04779618843374,-0.03499597856499717,-0.0012084807939576707+3.262935367655759E-9i,-0.008631204195341155+2.3304517188229244E-8i
