% Model,20260626_TI_field_CompactX_X30_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 17:11"
% Dimension,2
% Nodes,668
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=1,ec.Ey (V/m) @ idx=1,ec.Ex (V/m) @ idx=2,ec.Ey (V/m) @ idx=2
12.657580932731463,-20.810367863768505,-0.009174424899233202+2.381849021267886E-8i,-0.004930630263923634+1.2800820756990857E-8i,-0.0042755684223674635+1.1100160036225414E-8i,-0.0024573653006804883+6.379771157982813E-9i
14.434098847990487,-22.414793217282856,-0.002606913154992526+6.768024824385648E-9i,-0.00855213502628488+2.220291153487855E-8i,-0.0012837948911922175+3.332967067340335E-9i,-0.004237260960883439+1.1000706838180521E-8i
15,-22,-4.062026462126056E-5+1.0545765930440323E-10i,-0.01100760760865016+2.857776884888452E-8i,-2.0711985479038297E-5+5.377211420103361E-11i,-0.005451243438113207+1.4152428070836701E-8i
13.000000000000002,-20,-0.006866011966955891+1.7825426730434282E-8i,-1.0807744871804692E-4+2.805888851677843E-10i,-0.0029425709880879225+7.639454140149625E-9i,-5.6453799309680946E-5+1.4656442023451555E-10i
12.639970654950151,-20.122349214134946,-0.006937006920234112+1.8009742654127498E-8i,-0.0030054818181315225+7.802782196785812E-9i,-0.0030419318031356278+7.897413045112972E-9i,-0.0015238484143708098+3.956190054627164E-9i
13.07117834824522,-19.471183362854422,-6.511392179531506E-4+1.6904768702403167E-9i,-6.0265999307029805E-5+1.5646159082601754E-10i,1.1186471964920452E-4-2.9042133532885906E-10i,-1.44718106899408E-4+3.757147560361425E-10i
12.585525639365857,-19.708446977456738,-0.0043367055264290815+1.1258883174804587E-8i,-0.0033880945444186863+8.796115029799514E-9i,-0.001723115627459591+4.473524298113469E-9i,-0.0017373729672010647+4.510538967794449E-9i
12.829970010145292,-19.045022991713296,8.989443774676919E-4-2.3338245276036373E-9i,-0.004902409618422809+1.2727554783812847E-8i,8.101306513267181E-4-2.103247800440167E-9i,-0.0024676572830592434+6.406491032449697E-9i
13.262146195530818,-19.010119121160535,0.005381177690101768-1.3970524534467553E-8i,-0.003380805052186131+8.777190170602786E-9i,0.0029061989092213428-7.545025550449844E-9i,-0.0018026202425848181+4.679932865196911E-9i
13.585786437628055,-18.585786437625757,0.00934733344974234-2.4267392532252377E-8i,-0.009850524305669184+2.5573768311508007E-8i,0.004581195663158816-1.1893624424836971E-8i,-0.004809123239483681+1.2485366229416332E-8i
13.100003933447429,-18.42618528759516,0.004043916419113826-1.0498748936033847E-8i,-0.009554210183170745+2.4804482486602974E-8i,0.0022273592750020332-5.782633317559775E-9i,-0.00458948413202744+1.1915142810646376E-8i
