% Model,20260626_TI_field_Base_X50_Y50.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 7 2026, 19:57"
% Dimension,2
% Nodes,2200
% Expressions,2
% Description,Arrow surface
% x,y,ec.Jx,ec.Jy
7.410000000000005,-20.5,-0.008306507452269869,-0.003034397773453811
8.549999999999997,-20.5,-0.007552148993985823,-0.002868646755909418
9.689999999999998,-20.5,-0.006887318204561086,-0.002701505732110777
10.83,-20.5,-0.006256062198182985,-0.0025329373836236522
11.969999999999999,-20.5,-0.005619945999915894,-0.0024216722436976577
13.11,-20.5,-0.005031423303811545,-0.002311602543400664
14.250000000000007,-20.5,-0.004493413590663063,-0.0022041176441080492
15.389999999999993,-20.5,-0.003943373393529088,-0.0020958817676072924
16.530000000000005,-20.5,-0.003445660097432907,-0.0020268728925297115
17.67,-20.5,-0.002941086238337109,-0.0019391525432524653
18.809999999999995,-20.5,-0.002475778480934308,-0.0018574099650360202
19.949999999999996,-20.5,-0.0020108073025748544,-0.0017888887642845378
21.090000000000003,-20.5,-0.001564118121816548,-0.0017024997221556425
22.230000000000004,-20.5,-0.0011798396338534808,-0.001570632564495107
23.369999999999997,-20.5,-9.10546232029916E-4,-0.0012942183826762125
24.509999999999998,-20.5,-0.001448268370078878,-4.435189775035555E-4
-24.51,-19.5,-0.2769008666535372,-0.0723326871463522
-23.37,-19.5,-0.15792438357401728,-0.05502467458998313
-22.23,-19.5,-0.10701770263130649,-0.04103443708471475
-21.09,-19.5,-0.08256371272153021,-0.03532460260829132
-19.95,-19.5,-0.06795901087670085,-0.030585989844370762
-18.810000000000002,-19.5,-0.059070377199218566,-0.026737759320638644
-17.67,-19.5,-0.05161060597823211,-0.02398747706896908
-16.530000000000005,-19.5,-0.046876337776291105,-0.021340750018596984
-15.389999999999999,-19.5,-0.042722874902681236,-0.019574105190353186
-14.250000000000002,-19.5,-0.038540710275167596,-0.017335477780255983
-13.110000000000001,-19.5,-0.034937461902763665,-0.015683420040361617
-11.97,-19.5,-0.032421907349376174,-0.014229525324762791
-10.830000000000004,-19.5,-0.029946220700847324,-0.012792394443048912
-9.690000000000001,-19.5,-0.02743468562013001,-0.011724449136966164
-8.55,-19.5,-0.025363179461790585,-0.01074326158632008
-7.41,-19.5,-0.023517854517866577,-0.009779459374568783
-6.270000000000003,-19.5,-0.02161401538080986,-0.008967801231384655
-5.129999999999999,-19.5,-0.02002519146036095,-0.008314401003228606
-3.9900000000000024,-19.5,-0.018436367539912017,-0.007661000775072574
-2.849999999999998,-19.5,-0.017109992620239663,-0.007097766130532493
-1.7100000000000009,-19.5,-0.015804496360584536,-0.006521106063400233
-0.5700000000000038,-19.5,-0.014499000100929417,-0.005944445996267976
0.5700000000000003,-19.5,-0.0134767239626524,-0.005505897743325697
1.7099999999999973,-19.5,-0.012356080275057342,-0.005142704187390026
2.8500000000000014,-19.5,-0.011432400196710414,-0.004804318196333673
3.989999999999999,-19.5,-0.01056721979601279,-0.004460723613458889
5.130000000000003,-19.5,-0.00963909337337254,-0.004187036958368298
6.269999999999996,-19.5,-0.008872900757822958,-0.003946642889738733
7.410000000000005,-19.5,-0.008106708142273355,-0.003706248821109165
8.549999999999997,-19.5,-0.007370707238582062,-0.0034591881163859696
9.689999999999998,-19.5,-0.006739451232203952,-0.0032906197678988463
