% Model,20260626_TI_field_Base_X50_Y50_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 7 2026, 21:50"
% Dimension,2
% Nodes,868
% Expressions,2
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=4,ec.Ey (V/m) @ idx=4
-10.29349920338146,-22.811819714387365,0.009059906341371262-2.4462026187523588E-8i,-0.00289310045879942+7.811460352863435E-9i
-9.05333230328311,-24.999999999999996,0.011416343493833248-3.082447908281934E-8i,3.106546066919402E-5-8.387770069551388E-11i
-11.610267375007297,-20.584564969141457,0.006475271185325353-1.7483431653529028E-8i,-0.004471922184653007+1.2074327643984875E-8i
-12.90484444204549,-18.306087904076648,0.004254225245697393-1.1486539203242819E-8i,-0.0051131570110118+1.3805681426651925E-8i
-14.169568095663923,-15.886912418085688,0.002503238113591369-6.758820012152089E-9i,-0.005237510289104596+1.4141439107867733E-8i
-22.34718132689869,-10.125975209048054,1.279734254406631E-4-3.455321905632511E-10i,-0.003907209838552179+1.0549586915082359E-8i
-25,-8.333333333333337,-7.069010015935591E-6+1.908654478544658E-11i,-0.0038635087731802207+1.0431592692485795E-8i
-20,-10,2.018403787855099E-4-5.449752398654283E-10i,-0.004153650306314878+1.1214983768971416E-8i
-18.1885704188094,-10.93612859838036,4.1005285645864115E-4-1.1071553430031949E-9i,-0.004431227767358705+1.196445146381125E-8i
-22.843987387165562,-7.047341256222797,-4.9274933139377884E-5+1.330438372566939E-10i,-0.003904905414247536+1.0543364898478308E-8i
-24.999999999999993,-5.555555555555548,-1.6469600303640568E-6+4.446842812851564E-12i,-0.003802680845442182+1.0267355413953846E-8i
-14.37543527249328,-13.618798497291188,0.0014168486023400956-3.825534868494211E-9i,-0.005479159318728852+1.4793898931195614E-8i
-15.739282872318707,-11.938089176057701,7.343033711639524E-4-1.9826417203650963E-9i,-0.005040358898771527+1.3609124281255955E-8i
-7.583814815040503,-22.87487126808893,0.013365634632420182-3.60876251996258E-8i,-0.004339350676800864+1.1716380489279907E-8i
-6.395554353830299,-24.999999999999996,0.016856620663944957-4.551339501509062E-8i,-1.0655349624918524E-4+2.87697721963719E-10i
-8.962589135704938,-20.67081682190729,0.009120842755602675-2.4626556382927753E-8i,-0.006560976623472346+1.7714838976448535E-8i
-10.283115334953562,-18.393008088796247,0.005652957566852176-1.526315955451352E-8i,-0.0070830199635710965+1.9124372074842107E-8i
-11.590281107875606,-16.128534243537263,0.003225980427581784-8.710246522040974E-9i,-0.006761547997310678+1.825638786386721E-8i
-12.504334712480189,-14.05551403650516,0.0017495752795511424-4.7239071457055694E-9i,-0.006390391415730672+1.725425366113125E-8i
-4.878694795249355,-22.977368959940506,0.02066449636951653-5.579477671140718E-8i,-0.005912356067640171+1.5963543496706198E-8i
-3.737776404377492,-24.999999999999996,0.02309357323934451-6.235335908106084E-8i,-0.002291498839938131+6.18711745123427E-9i
-1.0799984549246808,-24.999999999999996,0.01311021712170149-3.5397990053241587E-8i,0.002739867332878048-7.3977261929461965E-9i
-1.51482525616317,-23.200072470675124,0.0402260354836221-1.0861153485959794E-7i,0.00501065811097985-1.3528931239365823E-8i
23.727024263280587,-22.1341447794647,-0.03563228202043236+9.620825901087059E-8i,-0.04509323660600482+1.2175312781093442E-7i
