% Model,20260626_TI_field_CompactXY_X10_Y10_leadField.mph
% Version,COMSOL 6.3.0.335
% Date,"Jul 3 2026, 20:44"
% Dimension,2
% Nodes,277
% Expressions,4
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,mm
% x,y,ec.Ex (V/m) @ idx=3,ec.Ey (V/m) @ idx=3,ec.Ex (V/m) @ idx=4,ec.Ey (V/m) @ idx=4
4.010119121164178,0.7621461955287434,-0.08678550851636846+2.3432354618616468E-7i,-0.15558912476832956+4.20095429375057E-7i,0.022721895866337438-6.13498187254263E-8i,0.04304042373614695-1.1621046983099863E-7i
3.5857864376265325,1.085786437627277,-0.10680391643441334+2.8837386417759435E-7i,-0.10828159873019771+2.9236365189220385E-7i,0.003967247673597657-1.0711690919010324E-8i,0.006142571490762777-1.6585132230298135E-8i
3.5635345943859966,0.4672913616880507,-0.06064067954373764+1.6373170263959098E-7i,-0.11656117667698372+3.1471876737845006E-7i,-0.010944060735590585+2.9549301088175778E-8i,0.03629892156128061-9.80082063051824E-8i
4.471183362850836,0.5711783482462016,-0.054866048525200085+1.4814002101770807E-7i,-0.20586926387398077+5.558533537035109E-7i,0.02199108028936092-5.937659415679655E-8i,0.08501146264012843-2.2953356767564312E-7i
4.0620193590287625,0.1370603178930978,-0.02720336617106199+7.344992658770471E-8i,-0.15281297473106395+4.12599738762689E-7i,-0.008986603966162979+2.4264107516575274E-8i,0.0680450837571884-1.837238220884669E-7i
3.2621461955302204,1.5101191211615839,-0.11723666090504559+3.165425956006668E-7i,-0.0669411998673756+1.8074330158383077E-7i,-0.018869078091691235+5.0947092058284075E-8i,-0.00940874805831965+2.5403909568400924E-8i
2.996097674337949,1.0402411669717972,-0.08579992280411168+2.3166243440479176E-7i,-0.07511402396631313+2.0281017839262726E-7i,-0.021211299464845217+5.7271161911581125E-8i,0.006373362128234306-1.720827406034838E-8i
3.0711783482458297,1.9711833628521929,-0.11674787060453756+3.152228467334388E-7i,-0.03146343498765758+8.49522436123701E-8i,-0.03339946244331063+9.017957737670057E-8i,-0.008294916643608846+2.2396530440131026E-8i
2.6873004748689064,1.6876912301953741,-0.09366626573136688+2.529018026097165E-7i,-0.04232844305644712+1.1428810006517445E-7i,-0.02953973076940773+7.97581829686153E-8i,-0.0026781092988897083+7.230977598885966E-9i
3,2.5,-0.10594628424380631+2.860582308459231E-7i,-2.6067767617667624E-4+7.038377551442066E-10i,-0.03851616332905694+1.0399482737429718E-7i,1.53605658644925E-4-4.1474000974393895E-10i
2.628910678547424,2.387825032343496,-0.091731106913955+2.476768141953932E-7i,-0.01254079007567716+3.386051948932206E-8i,-0.03371312632334541+9.102647951436653E-8i,-5.344294781828629E-4+1.442976052739615E-9i
4.5906383735431735,0.17282237283081223,-0.01666224682595374+4.498857966534357E-8i,-0.1980188291442576+5.34656938121927E-7i,0.00158419450989572-4.2773739735377594E-9i,0.09162293011218285-2.4738473349849387E-7i
5,0.5,-0.003525541887348549+9.519071690585022E-9i,-0.23856248590590298+6.441260602156547E-7i,0.002307418511270254-6.23010105418837E-9i,0.10917006386722831-2.947625351289244E-7i
3.0730613507732762,3.03563741665075,-0.08585918336633028+2.318224397481136E-7i,0.022983285770079007-6.205557951692511E-8i,-0.034864270412789+9.413460401371069E-8i,0.009452909638939591-2.5523147196349583E-8i
2.5558495366897507,2.789713364101272,-0.08168271795926013+2.205458545043722E-7i,-0.0010594798367552828+2.8606281936478585E-9i,-0.032287638448696664+8.717761834453256E-8i,0.0023887783939935217-6.449775243607032E-9i
2.842562056044149,3.479407891259219,-0.0650308593002303+1.7558532320967856E-7i,0.017694819449437495-4.777655755435733E-8i,-0.027399073187335598+7.397834155986608E-8i,0.008319456402105097-2.246278854395277E-8i
